userName,userId,commentContent,createTime,courseId,courseName,category,starCount
launchercher,2221478,非常好,2018-02-22,944,React组件,前端开发,5
基德大人1412,6353530,老师真的讲得好好啊，简洁易懂！,2018-02-18,944,React组件,前端开发,5
昨夜星辰2,1197552,"讲解的逻辑清晰,十分实用哦",2018-02-28,946,C4D零基础入门（上）,UI设计,5
心若为城4204226,4204226,很好,2018-03-01,783,Go语言开发微信公众号,后端开发,5
饱满的阳光,2775808,老师讲的很好！,2017-12-27,783,Go语言开发微信公众号,后端开发,5
weixin_YR_0,2244581,知识非常全面，内容浅显易懂,2018-02-28,949,Promise 入门,前端开发,4
False_Oscar,6422187,谢谢老师！,2018-02-27,949,Promise 入门,前端开发,5
auv,1079683,建议先对webpack和sass有所了解，看完再学也可以哈，毕竟不太深,2018-03-01,942,移动web开发适配秘籍Rem,前端开发,5
小白3007,5293230,感谢老师！！！,2018-02-25,942,移动web开发适配秘籍Rem,前端开发,5
枫叶咚咚咚,5716571,感谢～～,2018-02-24,942,移动web开发适配秘籍Rem,前端开发,5
chendidi,1925226,不错，从基础搭建h5小项目，其中还用到webpack,2018-02-23,942,移动web开发适配秘籍Rem,前端开发,5
慕雪2279059,6386908,老师讲的很好，大力推荐,2018-02-12,942,移动web开发适配秘籍Rem,前端开发,5
西兰花伟大炮,3164558,非常好的课,2018-01-30,942,移动web开发适配秘籍Rem,前端开发,5
renpingjun,1032661,确实只是简单的入门，学完跟没学一样,2018-02-24,948,Weex入门,前端开发,5
牛奶小哥哥,3233775,入门还是可以的吧,2018-02-17,948,Weex入门,前端开发,4
Ksdl,2725673,快点出实战,2018-02-17,948,Weex入门,前端开发,5
chendidi,1925226,很基础,2018-02-23,931,css定位 position,前端开发,5
枫叶咚咚咚,5716571,感谢～,2018-02-22,931,css定位 position,前端开发,5
学编程的小姑娘,5650233,"讲的比较实用,但是不怎么清晰,需要有一定的基础.",2018-02-14,931,css定位 position,前端开发,4
慕娘5182367,6358902,不知所云。。。。。。 免费是最贵的，因为浪费时间,2018-02-12,931,css定位 position,前端开发,1
weibo_新_zyx_0,5574551,实用。,2018-02-02,931,css定位 position,前端开发,4
