userName,commentContent,createTime,courseId,courseName
NISAL,课程应该是去年七月左右的 目前这个BUG已经没有了,2018-02-12,948,Weex入门
qq_web前端开发工程师,可以和react native做一下比较，和h5做比较意义不大,2018-02-15,948,Weex入门
丶莫失莫忘丶,这是什么时候的视频,2018-02-14,948,Weex入门
清风伴月,"text-aline 这个属性,表示没见过",6小时前,948,Weex入门
慕妹5046827,安装了 npm instakk -g weex-toolkit 之后    weex -v  显示 “weex”不是内部或外部命令。 明明装好了为啥还出错呢,8小时前,948,Weex入门
慕妹5046827,老师讲的很清晰,8小时前,948,Weex入门
阿阿影,电脑上app store查不到weex playground，原来在手机上。,10小时前,948,Weex入门
yi_Cao,a组建懵逼而过,1天前,948,Weex入门
隋堤倦客,看完了，，，，，，，,2天前,948,Weex入门
阿阿影,跟我的桌面一样的,2天前,948,Weex入门
隋堤倦客,坑比react native还要多。。。,2天前,948,Weex入门
慕少9105926,视频下载不了,3天前,948,Weex入门
_岁月如歌,二楼留言。。,3天前,948,Weex入门
newming,前排留言啦,3天前,948,Weex入门
慕粉1827125258,老师辛苦了 希望老师出一套详细的收费课程 不会让老师白辛苦的,3天前,948,Weex入门
weixin_逆麟_0,老师，我个人建议，在补充几集，关于打包成应用的一些技巧。,3天前,948,Weex入门
newming,前排，哈哈哈第一名,4天前,948,Weex入门
小刘8827,老师辛苦，讲的好,5天前,948,Weex入门
蘇小小,这个太简单了，大家看完了还是一脸懵逼，我给大家指条路参考：,2018-01-30,930,神经网络简介
慕仙633463,右边括号不封闭,2017-12-30,930,神经网络简介
黄小凡,感觉数学能力不够用了~~~,2017-12-31,930,神经网络简介
灯归,懵逼...,3天前,930,神经网络简介
java小天使,人工智能分三类：,2018-02-18,930,神经网络简介
java小天使,人工智能分三类：,2018-02-18,930,神经网络简介
独倚残垣,貌似公式写错了，个人认为,2018-02-17,930,神经网络简介
枯黄的树叶,反正我是啥都没学到,2018-02-17,930,神经网络简介
1233guo,听完后对神经网络有了一个基础的认知，但是数学都还给老师了,2018-02-17,930,神经网络简介
1233guo,高数都忘记了    看的一脸蒙逼,2018-02-17,930,神经网络简介
Spectop,公式的最右边再添加一个右括号就行,2018-02-11,930,神经网络简介
咸小7,老师经得好，听懂了(^_^),2018-02-06,930,神经网络简介
风行天下1,实在听不下去了,2018-02-05,930,神经网络简介
风行天下1,听得一脸懵逼,2018-02-05,930,神经网络简介
晓磊_Nexter,说实话，讲的太烂了，懂的人不听都懂，不懂人听完一样不懂，价值太低了,2018-02-02,930,神经网络简介
精慕门6307250,讲了些什么？？？？？··················,2018-02-02,930,神经网络简介
黑夜与群星,来学个概念,2018-02-01,930,神经网络简介
慕尼黑3468908,啊哈哈打点,2018-02-01,930,神经网络简介
慕盖茨4244249,很赞，学习这个课程让我对jni有了一个整体的印象。,2018-01-04,918,Android-NDK进阶
qq_凯龙_03712531,真的想说啥就说啥吗,2017-12-28,918,Android-NDK进阶
IT_耗子,谢谢nate。,2018-01-18,918,Android-NDK进阶
IT_耗子,个人笔记：https://github.com/luqinmao/NdkJniStudy,2018-01-18,918,Android-NDK进阶
IT_耗子,个人的代码参考：https://github.com/luqinmao/NdkJniStudy,2018-01-18,918,Android-NDK进阶
django124,老师讲的非常棒，谢谢老师,2018-01-13,918,Android-NDK进阶
dky,谢谢nate。,2018-01-10,918,Android-NDK进阶
kevin26xtu,一名小白路过。,2018-01-09,918,Android-NDK进阶
慕的地029372,老师，jni生成头文件的时候，发现还是提示没有这个方法，并且c也不能关联源码，不知道我这还有哪里没配置好,2018-01-07,918,Android-NDK进阶
慕村6244680,很好的课程,2018-01-02,918,Android-NDK进阶
王正一,跟Java的反射调用特别像,2018-01-01,918,Android-NDK进阶
王正一,学到了，之前不知道ABI缩写。ABI=Application Binary Interface,2017-12-31,918,Android-NDK进阶
hym1hym1,dd慕女神,2017-12-28,918,Android-NDK进阶
cyabonc,关于relative，的top、right、bottom、left偏移，可以首先想像这个块级元素正常文档流情况下的位置，上面四个方向的偏移是相对正常文档流位置的偏移。,2018-01-05,931,css定位 position
大大大鸭梨啊,很仔细，建议大家跟着写，会比较容易学,2018-01-26,931,css定位 position
慕粉1402298183,"说实话，，老师在这一节讲的不算好。一定程度上还讲错了。某个元素的position=relative,是这个元素相对于其在正常文档流中的偏移。该元素相对于其正常文档流中的四个方位上的偏移，搞出来一个x,y轴的其实不利于理解。",2018-01-06,931,css定位 position
梦辞,感谢慕课网老师，一直对布局这一块不太明白，看了老师的讲解一下子思路清楚了，感谢,3天前,931,css定位 position
weibo_19133qwe_0,这里后面没有讲清楚啊,6天前,931,css定位 position
Kian_,小板凳吧~~~,2018-02-18,931,css定位 position
aoweisi_慕梓,感谢 讲了一些 之前自己不曾发现的小细节,2018-02-13,931,css定位 position
aoweisi_慕梓,高票说的找父级，有点欠妥。,2018-02-12,931,css定位 position
XAGT,一个导航就那么多代码，可以想象到整个网页所要的代码有多长了，感谢幕课网,2018-02-12,931,css定位 position
慕少3323871,表示听不懂,2018-02-11,931,css定位 position
疯狂的猴子521,position属性的意义那边写错了 bottom,2018-02-08,931,css定位 position
qq__12679,讲得不错，很好,2018-02-08,931,css定位 position
qq_個人的承诺_0,他妈的，草拟妈,2018-02-08,931,css定位 position
qq__12679,。。。。。。,2018-02-08,931,css定位 position
慕圣007,掌握了许多之前迷茫的地方，感谢老师，感谢慕课网,2018-02-07,931,css定位 position
