id,gmtModified,commentorId,userNickName,faceUrl,content,mark,courseId,termId,courseName,agreeCount,status,upvote
95252,1519111849278,1135664043,mooc1519108748835,,老师上课很有趣 ，便于我们从生活中运用，不仅有相关法律条文，还有丰富的案例，值得我们学习。,5.0,1002573003,1002692021,运动生物力学,1,1,
92093,1518152507899,1035121041,死宅江川白,http://edu-image.nosdn.127.net/A7AB66C22C553F85ECFA34A8ED9AA542.jpg?imageView&thumbnail=310x205&quality=100,在课程介绍中，老师从我们生活中熟悉的案例入手，用法律知识分析问题和维权措施。对于当代大学生而言，具备消费者保护法律知识是十分必要的，法律问题离我们并不遥远，它存在于我们身边。因此这门课程是非常有意义的。,5.0,1002573003,1002692021,运动生物力学,1,1,
95458,1519294770143,1135157659,Aciteoftw,,案例太少，不够生动，不够形象，很多时候在读法律条纹，印象不深刻，估计我听完就忘了。,1.0,1002573003,1002692021,运动生物力学,0,1,
94237,1519096925754,1034340795,mooc1512605566076,,非常好，有案例，便有我们学习。,4.0,1002573003,1002692021,运动生物力学,0,1,
87350,1517999279244,1027179169,npu2017303163,http://edu-image.nosdn.127.net/DD6DC847042A3F3732FCA7EF773A1236.jpg?imageView&thumbnail=310x205&quality=100,靠这个学了一个学期,5.0,20006,1002311004,局部解剖学,0,1,
86825,1517837978231,1029876751,npu2017303135,,授课老师讲得很仔细，适合小白,5.0,20006,1002311004,局部解剖学,0,1,
86808,1517836561787,2445877,zhaozhicheng,,挺不错的一个课程，学习到C  ,4.0,1002533008,1002311004,大学化学,0,1,
85161,1517646601953,1029905468,数值09班1701716赵珊,,!!!!!!!!!!!!1,5.0,1002533008,1002311004,大学化学,0,1,
83959,1517580507723,1029835990,npu2017303149,,"老师讲的很细致，但是对自己的时间安排是个考验
",5.0,1002533008,1002311004,大学化学,0,1,
84847,1517569640137,9475266,阿 陽。,http://img2.ph.126.net/db1jNBUnddIv4IqgiqFQig==/6631281070955194490.jpg,讲的很清晰，学到很多,5.0,1002533008,1001584011,大学化学,0,1,
83681,1517551176536,1029058692,咕叽咕叽ykt1503062080292,http://img2.ph.126.net/cCBfa4z128kpVQViaG7lqw==/90353467542277952.jpg,很好哈哈哈哈啊哈哈,5.0,1002533008,1002311004,大学化学,0,1,
83512,1517536796694,1023316927,Roc_W,http://edu-image.nosdn.127.net/AAF2CB1C4B75ECB145C260E47A98E68E.jpg?imageView&thumbnail=310x205&quality=100,很好，受益匪浅,5.0,1002533008,1002311004,大学化学,0,1,
83220,1517486121404,1031412419,cheng23,,"很棒的课,这个老师讲得非常好,非常感谢老师讲得这么好",5.0,1002533008,1002311004,大学化学,0,1,
93659,1518515146625,5065823,北极珈蓝,,太垃圾了，课程编排逻辑混乱，并且C#一些功能都没介绍完，倒是讲了一大堆函数怎么用，是废话，根本不介绍原理,1.0,1001812006,1002760020,生态文明——撑起美丽中国梦,0,1,
93254,1518239816696,1016101010,ghhmooc1459647443942,http://img1.ph.126.net/6RfjXGFHvhXnDxL6X7rS-w==/6598171477368432499.jpg,"老师讲课太死板枯燥啦,照着写好的文字来教学,失败",1.0,1001812006,1002035023,生态文明——撑起美丽中国梦,0,1,
94350,1519189974303,1031680484,王甜颖,,很方便，能够随时回顾与复习。,4.0,1001812006,1002318002,生态文明——撑起美丽中国梦,0,1,
93573,1518443331144,1028660923,老的的,http://edu-image.nosdn.127.net/E087CD24DD9702B61A6B4683F110BF3B.jpg?imageView&thumbnail=180y180&quality=100,其实还不够详尽，导致很多东西要查阅其它渠道的资料，课程包含内容是非常广泛的，但是也导致了内容不详细。,3.0,1001812006,1002318002,生态文明——撑起美丽中国梦,0,1,
88324,1518049276465,1018462444,实现梦想mooc2,http://img1.ph.126.net/acyp4bn1rqnpQif_eovZww==/6631785746792194252.jpg,实用，真实用,4.0,1001812006,1002318002,生态文明——撑起美丽中国梦,0,1,
93353,1518282443664,1135336644,张向前,http://edu-image.nosdn.127.net/1253DC1A064CD6B0B2A572EB06561271.jpg?imageView&thumbnail=180y180&quality=100,热烈欢迎同学们旁听！,5.0,1001593010,1002750011,无机及分析化学（上）,1,1,
86912,1517883992662,1028598682,临床1705-U201712300-张玮星,http://edu-image.nosdn.127.net/E5F56BAE2F88014C0BF654D3788C5C7B.jpg?imageView&thumbnail=310x205&quality=100,上课认真听讲就好。,5.0,1001593010,1002318002,无机及分析化学（上）,0,1,
86823,1517837820898,1029167048,mooc1503522395820,http://edu-image.nosdn.127.net/CAEAFD28BB10AE0C60E2DB283C012ED1.jpg?imageView&thumbnail=310x205&quality=100,最大的感受是授课解惑老师的认真负责的态度。谢谢！我学到了知识。,5.0,1001593010,1002318002,无机及分析化学（上）,0,1,
85817,1517822488297,1020379978,流水尚浅,http://img1.ph.126.net/7xyPDRgmQFC-7xX889oulg==/6631812135073486351.jpg,"课程通俗易懂
",4.0,1001593010,1002318002,无机及分析化学（上）,0,1,
93109,1518155857387,1024361501,Sir貓,http://edu-image.nosdn.127.net/240F14A1954C4C37C6682820CC0792CA.jpg?imageView&thumbnail=310x205&quality=100,课程总体介绍3D打印的诸多技术、它们的优劣势以及应用领域，还是比较不错的。但是就学习者的体验来说，上一轮学习是很不好的。比如二三章的单元测试中出现了不同程度的错误，第五章的内容连个公告都没有，也不像平时每两周发布而是推迟了很久才发布，而且发布出来的时候测试题也过期了，导致不少同学退出课程。望改进。,2.0,1001593010,1002752017,无机及分析化学（上）,1,1,
92241,1518234508823,1029300139,苏炜杰,https://edu-image.nosdn.127.net/41D9405CC8FFE021C6DC28ACAF496040.png?imageView&thumbnail=180y180&quality=100,课程非常棒,5.0,1001703008,1001998009,视觉保健康复技术,0,1,
83874,1517572410275,1029101586,IvySwift,http://img2.ph.126.net/TL_j5iiXFNEseVi96PcL6g==/6632622475140359840.jpg,上课时间更随意了，可以重复听不懂的内容，挺好的,4.0,1001703008,1001998009,视觉保健康复技术,0,1,
95428,1519282660314,1030324220,握不住的沙扬了它,,了解如何在遇到突发情况下自我保护,5.0,284001,1002265005,高等数学（三）,0,1,
85483,1517736939836,1033201254,mooc1510404327466,,老师讲课还可以,4.0,284001,1002458007,高等数学（三）,0,1,
93228,1518229607677,5362036,高晓娟,,很实用，收获很大。,5.0,284001,1002265005,高等数学（三）,0,1,
92174,1518178606061,1020004036,黑暗精灵mooc1,http://img2.ph.126.net/PMYy9IgI3zhilS3_mCGodw==/6631491077677909037.jpg,对于逃生自救有了初步认识，希望接下来有更多关于扎方面的课程。也谢谢所有老师们。,4.0,284001,1002265005,高等数学（三）,0,1,
88399,1518074944205,1030485226,希望mooc154,https://img2.ph.126.net/lr6PgwpWa1s7K2sc-qXxHQ==/6597206106098493152.jpg,总体来说，这门课给我的知识还是比较多的，了解不同灾害的产生原及因应对措施，为生活提供一点安全保障，非常值得更加深入了解，学习,5.0,284001,1002265005,高等数学（三）,0,1,
88200,1517983519413,6258046,向平红,,很实用！值得学习！,5.0,284001,1002265005,高等数学（三）,0,1,
88040,1517908604056,1036057710,mooc1516624606907,,从不同角度丰富了自己的知识与技能,5.0,284001,1002265005,高等数学（三）,0,1,
85852,1517831332464,1031767977,mooc1508244735901,,学了好多，拓宽了视野，希望可以增加其他方面的灾难逃生的内容。。。。。。。。。。。。。。,5.0,284001,1002265005,高等数学（三）,0,1,
86775,1517828500676,1034486794,mooc1512914039214,,学习到了平时很少接触的知识,5.0,284001,1002265005,高等数学（三）,0,1,
85544,1517749465103,1030276596,我在我在我在,,我觉得可以OK.,5.0,284001,1002265005,高等数学（三）,0,1,
85518,1517744554393,3209788,19870603bbbb163com,,非常有用，感谢老师辛苦整理。,5.0,284001,1002265005,高等数学（三）,0,1,
86258,1517662436357,1018893702,喻影,http://nos.netease.com/edu-image/BB41DFC82700098D397FA085EECF0815.jpg?imageView&thumbnail=180y180&quality=100,对日常容易产生的自然灾害和危险有了大致的了解以及防治措施和逃避方法,5.0,284001,1002265005,高等数学（三）,0,1,
85065,1517628738611,1031359578,v11163com,,免费学到知识，谢谢网易等组织方，还没有广告，实属良心app。希望讲课形式变化，老师声音有点低，开头音乐声音太响。幻灯内容文字能不能放大，老师的头像可以缩小,4.0,284001,1002265005,高等数学（三）,0,1,
